Term,Stamm,Sprache,Zeitraum
బువ్వమ్మ,అమ్మ,Telugu,600 CE - present
మలయమ్మ,మల,Telugu,600 CE - present
మలయమ్మ,అమ్మ,Telugu,600 CE - present
మాచకమ్మ,మాచ,Telugu,600 CE - present
మాచకమ్మ,అక,Telugu,600 CE - present
మాచకమ్మ,అమ్మ,Telugu,600 CE - present
ముసలమ్మ,ముసలి,Telugu,600 CE - present
ముసలమ్మ,అమ్మ,Telugu,600 CE - present
క్రయవిక్రయములు,క్రయము,Telugu,600 CE - present
క్రయవిక్రయములు,విక్రయము,Telugu,600 CE - present
ప్రదేశము,प्रदेश,Sanskrit,1500 BCE - present (liturgical/classical)
రమ్ము,rum,English,1550 CE - present
బీరు,beer,English,1550 CE - present
బీరుపోవు,బీరు,Telugu,600 CE - present
బీరుపోవు,పోవు,Telugu,600 CE - present
బహువ్రీహి,बहुव्रीहि,Sanskrit,1500 BCE - present (liturgical/classical)
స్నేహితురాలు,स्नेहित,Sanskrit,1500 BCE - present (liturgical/classical)
ఇల్లాలు,ఇల్లు,Telugu,600 CE - present
ఇల్లాలు,ఆలు,Telugu,600 CE - present
శ్రమ,श्रम,Sanskrit,1500 BCE - present (liturgical/classical)
పేదరాలు,పేద,Telugu,600 CE - present
పేదరాలు,ర,Telugu,600 CE - present
పేదరాలు,ఆలు,Telugu,600 CE - present
పేదవాడు,పేద,Telugu,600 CE - present
పేదవాడు,వాడు,Telugu,600 CE - present
హోర,होरा,Sanskrit,1500 BCE - present (liturgical/classical)
హోర,ὥρα,Ancient Greek,1500 BCE - 300 BCE
పండుటాకు,పండు,Telugu,600 CE - present
పండుటాకు,ఆకు,Telugu,600 CE - present
ఏలికసాని,ఏలిక,Telugu,600 CE - present
ఏలికసాని,సాని,Telugu,600 CE - present
దొరసాని,దొర,Telugu,600 CE - present
దొరసాని,సాని,Telugu,600 CE - present
శ్రీనగర్,श्री,Sanskrit,1500 BCE - present (liturgical/classical)
చీపురుకట్ట,చీపురు,Telugu,600 CE - present
చీపురుకట్ట,కట్ట,Telugu,600 CE - present
దుమ్ముగూడెం,దుమ్ము,Telugu,600 CE - present
దుమ్ముగూడెం,గూడెం,Telugu,600 CE - present
యూరోపియను,European,English,1550 CE - present
లండను,London,English,1550 CE - present
ద్రావిడ,द्राविड,Sanskrit,1500 BCE - present (liturgical/classical)
నాడు,*nāṭu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ఆకాశనీలం,आकाश,Sanskrit,1500 BCE - present (liturgical/classical)
నీలిమందు,నీలి,Telugu,600 CE - present
నీలిమందు,మందు,Telugu,600 CE - present
పేకమేడ,పేక,Telugu,600 CE - present
పేకమేడ,మేడ,Telugu,600 CE - present
మహాలయము,మహా,Telugu,600 CE - present
మహాలయము,లయము,Telugu,600 CE - present
ఇనస్పెక్టరు,inspector,English,1550 CE - present
రిబ్బను,ribbon,English,1550 CE - present
రబ్బరు,rubber,English,1550 CE - present
చెవిపోటు,చెవి,Telugu,600 CE - present
చెవిపోటు,పోటు,Telugu,600 CE - present
గయ,गया,Sanskrit,1500 BCE - present (liturgical/classical)
అత్రి,अत्रि,Sanskrit,1500 BCE - present (liturgical/classical)
సెంచరీ,century,English,1550 CE - present
బౌండరీ,boundary,English,1550 CE - present
ఔటు,out,English,1550 CE - present
కల్లూరు,కల్లు,Telugu,600 CE - present
కల్లూరు,ఊరు,Telugu,600 CE - present
సిల్వరు,silver,English,1550 CE - present
వెండికొండ,వెండి,Telugu,600 CE - present
వెండికొండ,కొండ,Telugu,600 CE - present
పుట్టినరోజు,పుట్టిన,Telugu,600 CE - present
పుట్టినరోజు,రోజు,Telugu,600 CE - present
ద్రాక్షచక్కెర,ద్రాక్ష,Telugu,600 CE - present
ద్రాక్షచక్కెర,చక్కెర,Telugu,600 CE - present
పండ్లచక్కెర,పండ్ల,Telugu,600 CE - present
పండ్లచక్కెర,చక్కెర,Telugu,600 CE - present
కొదమసింగము,కొదమ,Telugu,600 CE - present
కొదమసింగము,సింగము,Telugu,600 CE - present
విచారణకర్త,విచారణ,Telugu,600 CE - present
విచారణకర్త,కర్త,Telugu,600 CE - present
మలమలమరుగు,మలమల,Telugu,600 CE - present
మలమలమరుగు,మరుగు,Telugu,600 CE - present
మలమలమాడు,మలమల,Telugu,600 CE - present
మలమలమాడు,మాడు,Telugu,600 CE - present
ముక్కాలిపీట,మూడు,Telugu,600 CE - present
ముక్కాలిపీట,కాలి,Telugu,600 CE - present
ముక్కాలిపీట,పీట,Telugu,600 CE - present
ముమ్మారు,మూడు,Telugu,600 CE - present
ముమ్మారు,మారు,Telugu,600 CE - present
ముమ్మూడు,మూడు,Telugu,600 CE - present
మూడుమూళ్లు,మూడు,Telugu,600 CE - present
మూడుమూళ్లు,మూళ్లు,Telugu,600 CE - present
కొట్టము,गोष्ठ,Sanskrit,1500 BCE - present (liturgical/classical)
కొట్టము,*kōṭṭ-ay,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ఇత్యాది,ఇతి,Telugu,600 CE - present
ఇత్యాది,ఆది,Telugu,600 CE - present
శకము,शक,Sanskrit,1500 BCE - present (liturgical/classical)
ఎయిడ్స్,AIDS,English,1550 CE - present
బోర్డు,board,English,1550 CE - present
రైటరు,writer,English,1550 CE - present
ప్లాటినము,platinum,English,1550 CE - present
ఘటన,घटना,Sanskrit,1500 BCE - present (liturgical/classical)
నాగులచవితి,నాగుల,Telugu,600 CE - present
నాగులచవితి,చవితి,Telugu,600 CE - present
ఎర్ర జెండా,ఎర్ర,Telugu,600 CE - present
ఎర్ర జెండా,జెండా,Telugu,600 CE - present
ఎర్ర,*er,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ఎర్ర,*eṟur̤,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
లక్కవరం,లక్క,Telugu,600 CE - present
లక్కవరం,వరం,Telugu,600 CE - present
కథాసరిత్సాగరము,कथासरित्सागर,Sanskrit,1500 BCE - present (liturgical/classical)
పుంగవము,పుం,Telugu,600 CE - present
పుంగవము,గవము,Telugu,600 CE - present
నిశాని,निशान,Hindi,not available
నిశాని,نشان,Urdu,not available
నిశాని,نشان,Persian,1000 CE - present
పెద్దాపురము,పెద్ద,Telugu,600 CE - present
పెద్దాపురము,పురము,Telugu,600 CE - present
కావలివాడు,కావలి,Telugu,600 CE - present
కావలివాడు,వాడు,Telugu,600 CE - present
తురుతు,द्रुत,Sanskrit,1500 BCE - present (liturgical/classical)
తురుతు,तुरत्,Sanskrit,1500 BCE - present (liturgical/classical)
తురుతు,तुरंत,Prakrit,500 BCE - 1000 CE
నెమ్మది,నెర,Telugu,600 CE - present
నెమ్మది,మది,Telugu,600 CE - present
సంగోరు,సగము,Telugu,600 CE - present
సంగోరు,కోరు,Telugu,600 CE - present
గుణవంతురాలు,గుణవంత,Telugu,600 CE - present
గుణవంతురాలు,ఆలు,Telugu,600 CE - present
ధీరురాలు,ధీర,Telugu,600 CE - present
ధీరురాలు,ర,Telugu,600 CE - present
ధీరురాలు,ఆలు,Telugu,600 CE - present
బాలింతరాలు,బాలింత,Telugu,600 CE - present
బాలింతరాలు,ర,Telugu,600 CE - present
బాలింతరాలు,ఆలు,Telugu,600 CE - present
గొడ్డురాలు,గొడ్డు,Telugu,600 CE - present
గొడ్డురాలు,ఆలు,Telugu,600 CE - present
మోటార్ సైకిల్,motorcycle,English,1550 CE - present
వేములవాడ,వేముల,Telugu,600 CE - present
వేములవాడ,వాడ,Telugu,600 CE - present
ప్రదేశ్,प्रदेश,Sanskrit,1500 BCE - present (liturgical/classical)
అగపడు,అగ్గము,Telugu,600 CE - present
అగపడు,పడు,Telugu,600 CE - present
పగలు,*pakal,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ఉప్పుచేప,ఉప్పు,Telugu,600 CE - present
ఉప్పుచేప,చేప,Telugu,600 CE - present
ఉప్పుపర్ర,ఉప్పు,Telugu,600 CE - present
ఉప్పుపర్ర,పర్ర,Telugu,600 CE - present
తనువు,तनू,Sanskrit,1500 BCE - present (liturgical/classical)
కాశి,काशि,Sanskrit,1500 BCE - present (liturgical/classical)
శూద్రురాలు,శూద్ర,Telugu,600 CE - present
శూద్రురాలు,ర,Telugu,600 CE - present
శూద్రురాలు,ఆలు,Telugu,600 CE - present
ఆయా,aia,Portuguese,1516 CE - present
అందాజు,اندازه,Classical Persian,800 CE - 1900 CE
అలగా,अलग,Hindi,not available
మంచివాడు,మంచి,Telugu,600 CE - present
మంచివాడు,వాడు,Telugu,600 CE - present
రావిపాటివారు,రావిపాడు,Telugu,600 CE - present
రావిపాటివారు,వారు,Telugu,600 CE - present
అక్కసముద్రం,అక్క,Telugu,600 CE - present
అక్కసముద్రం,సముద్రం,Telugu,600 CE - present
అల్లంపాడు,అల్లం,Telugu,600 CE - present
అల్లంపాడు,పాడు,Telugu,600 CE - present
సంజ్ఞ,संज्ञा,Sanskrit,1500 BCE - present (liturgical/classical)
మహాధమని,మహా,Telugu,600 CE - present
మహాధమని,ధమని,Telugu,600 CE - present
చిన్నక్క,చిన్న,Telugu,600 CE - present
చిన్నక్క,అక్క,Telugu,600 CE - present
ఒప్పులకుప్ప,ఒప్పుల,Telugu,600 CE - present
ఒప్పులకుప్ప,కుప్ప,Telugu,600 CE - present
పునర్నిర్మాణం,పునః,Telugu,600 CE - present
పునర్నిర్మాణం,నిర్మాణం,Telugu,600 CE - present
కారూరు,కారు,Telugu,600 CE - present
కారూరు,ఊరు,Telugu,600 CE - present
మణుగూరు,మణుగు,Telugu,600 CE - present
మణుగూరు,ఊరు,Telugu,600 CE - present
రసీదు,رسید,Persian,1000 CE - present
రశీదు,receipt,English,1550 CE - present
ఘనుడు,घन,Sanskrit,1500 BCE - present (liturgical/classical)
రుబ్బురాయి,రుబ్బు,Telugu,600 CE - present
రుబ్బురాయి,రాయి,Telugu,600 CE - present
వానరాయి,వాన,Telugu,600 CE - present
వానరాయి,రాయి,Telugu,600 CE - present
గోరువెచ్చని,గోరు,Telugu,600 CE - present
గోరువెచ్చని,వెచ్చని,Telugu,600 CE - present
గ్రుడ్లగూబ,గ్రుడ్ల,Telugu,600 CE - present
గ్రుడ్లగూబ,గూబ,Telugu,600 CE - present
నమ్మదగిన,నమ్ము,Telugu,600 CE - present
నమ్మదగిన,తగిన,Telugu,600 CE - present
నమ్మదగని,నమ్ము,Telugu,600 CE - present
నమ్మదగని,తగని,Telugu,600 CE - present
పెన్నిధి,పెను,Telugu,600 CE - present
పెన్నిధి,నిధి,Telugu,600 CE - present
పెంచుకొను,పెంచు,Telugu,600 CE - present
పెంచుకొను,కొను,Telugu,600 CE - present
పెనుకొండ,పెను,Telugu,600 CE - present
పెనుకొండ,కొండ,Telugu,600 CE - present
ఎవడు,ఏ,Telugu,600 CE - present
ఎవడు,వాడు,Telugu,600 CE - present
ఎచట,ఏ,Telugu,600 CE - present
ఎచట,చోటు,Telugu,600 CE - present
ఏది,ఏ,Telugu,600 CE - present
ఏది,అది,Telugu,600 CE - present
ఏదుము,ఏను,Telugu,600 CE - present
ఏదుము,తూము,Telugu,600 CE - present
ఏబలము,ఏను,Telugu,600 CE - present
ఏబలము,పలము,Telugu,600 CE - present
ఏవి,ఏ,Telugu,600 CE - present
ఏవి,అవి,Telugu,600 CE - present
ఎయ్యది,ఏ,Telugu,600 CE - present
ఎయ్యది,అది,Telugu,600 CE - present
ఏవాడు,ఏ,Telugu,600 CE - present
ఏవాడు,వాడు,Telugu,600 CE - present
