Term,Stamm,Sprache,Zeitraum
क्षम्,*ȷ́ʰžʰáHs,Proto-Indo-Iranian,2200 BCE - 1800 BCE
क्षम्,*dʰéǵʰōm,Proto-Indo-European,4500 BCE - 2500 BCE
क्षम्,*kšamH-,Proto-Indo-Iranian,2200 BCE - 1800 BCE
मृद्,*mŕ̥ts,Proto-Indo-Aryan,2000 BCE - 1500 BCE
मृद्,*mŕ̥ts,Proto-Indo-Iranian,2200 BCE - 1800 BCE
ऋजु,*Hr̥ȷ́úš,Proto-Indo-Iranian,2200 BCE - 1800 BCE
पांसु,*pānsúṣ,Proto-Indo-Aryan,2000 BCE - 1500 BCE
पांसु,*pānsúš,Proto-Indo-Iranian,2200 BCE - 1800 BCE
पांसु,*pē(n)sus,Proto-Indo-European,4500 BCE - 2500 BCE
धृषु,*dʰr̥ṣúṣ,Proto-Indo-Aryan,2000 BCE - 1500 BCE
धृषु,*dʰr̥šúš,Proto-Indo-Iranian,2200 BCE - 1800 BCE
पाषी,*pels-,Proto-Indo-European,4500 BCE - 2500 BCE
ऋश्य,*h₁el-,Proto-Indo-European,4500 BCE - 2500 BCE
वार्,*ur,Proto-Indo-European,4500 BCE - 2500 BCE
वापी,*weHp-,Proto-Indo-European,4500 BCE - 2500 BCE
वर्षति,*Hwáršati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
वर्षति,*h₁wers-,Proto-Indo-European,4500 BCE - 2500 BCE
लोपाश,*HlawpaHśás,Proto-Indo-Aryan,2000 BCE - 1500 BCE
लोपाश,*HlawpaHćás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
लोपाश,*h₂wl(o)p-,Proto-Indo-European,4500 BCE - 2500 BCE
अद्ग,*Hádᶻgas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
अद्ग,*Hodsgʷós,Proto-Indo-European,4500 BCE - 2500 BCE
जलूका,*ǵelu-,Proto-Indo-European,4500 BCE - 2500 BCE
मशक,*makáśas,Proto-Indo-Aryan,2000 BCE - 1500 BCE
मशक,*makáćas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
वसा,*wásaH,Proto-Indo-Aryan,2000 BCE - 1500 BCE
वसा,*wásaH,Proto-Indo-Iranian,2200 BCE - 1800 BCE
वसा,*wóseh₂,Proto-Indo-European,4500 BCE - 2500 BCE
वाष्प,*wápōs,Proto-Indo-European,4500 BCE - 2500 BCE
गिरति,*gr̥Háti,Proto-Indo-Aryan,2000 BCE - 1500 BCE
गिरति,*gr̥Háti,Proto-Indo-Iranian,2200 BCE - 1800 BCE
चमति,*ćámati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
चमति,*čámati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
मत्कुण,*mot-,Proto-Indo-European,4500 BCE - 2500 BCE
रक्षति,*Hrákṣati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
रक्षति,*Hrákšati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
रक्षति,*h₂lékseti,Proto-Indo-European,4500 BCE - 2500 BCE
मूर्धन्,*mr̥Hdʰā́,Proto-Indo-Aryan,2000 BCE - 1500 BCE
मूर्धन्,*mr̥Hdʰā́,Proto-Indo-Iranian,2200 BCE - 1800 BCE
मूर्धन्,*ml̥Hdʰṓ,Proto-Indo-European,4500 BCE - 2500 BCE
मुष्टि,*muštíš,Proto-Indo-Iranian,2200 BCE - 1800 BCE
